codigo_cta,tipo_documento,status_documento,numero_documento,data_emissao,data_vencimento,data_quitacao,valor_documento,valor_desconto,valor_saldo,Usuario,descricao_tipo_documento,fornecedor,numero_documento_base
681,despesas,quitado,4281808,2025-01-09,2025-01-10,2025-03-05,5584.18,0.0,0.0,INFARMA,DUPLICATA,Fornecedor Não Informado,4281808
682,despesas,quitado,120265,2025-01-01,2025-01-15,2025-01-20,2985.11,0.0,0.0,INFARMA,DUPLICATA,Fornecedor Não Informado,120265
683,despesas,quitado,122024,2025-01-17,2025-01-20,2025-01-23,11197.47,0.0,0.0,ADRIANA,OUTROS,Fornecedor Não Informado,122024
684,despesas,cancelado,16122024,2024-12-26,2025-01-27,,119.97,0.0,119.97,ADRIANA,DUPLICATA,Fornecedor Não Informado,16122024
685,despesas,quitado,27268091,2025-01-10,2025-01-20,2025-03-14,159.9,0.0,0.0,ADRIANA,BOLETO BANCARIO,Fornecedor Não Informado,27268091
686,despesas,quitado,491487152,2025-01-17,2025-01-19,2025-03-05,8000.0,0.0,0.0,ADRIANA,OUTROS,Fornecedor Não Informado,491487152
687,despesas,quitado,122024,2025-01-17,2025-01-17,2025-01-23,4445.6,0.0,0.0,ADRIANA,OUTROS,Fornecedor Não Informado,122024
714,fornecedor,quitado,527-1,2025-01-15,2025-02-17,2025-03-06,15000.0,0.0,0.0,YAGO,DUPLICATA,GLOBALMED DISTRIBUICAO LTDA,527-1
715,fornecedor,quitado,527-2,2025-01-15,2025-03-06,2025-03-14,15000.0,0.0,0.0,YAGO,DUPLICATA,GLOBALMED DISTRIBUICAO LTDA,527-2
716,fornecedor,quitado,113041/001,2025-01-17,2025-02-16,2025-03-06,1064.0,0.0,0.0,YAGO,DUPLICATA,DINAMICA,113041
717,despesas,quitado,1,2025-01-20,2025-01-20,2025-02-04,956.25,0.0,0.0,INFARMA,DAE-DOCUMENTO DE ARRECADACAO ESTADUAL,Fornecedor Não Informado,1
718,despesas,quitado,2,2025-01-20,2025-01-20,2025-02-04,348.5,0.0,0.0,YAGO,DAE-DOCUMENTO DE ARRECADACAO ESTADUAL,Fornecedor Não Informado,2
725,fornecedor,quitado,26193/001,2025-01-17,2025-02-16,2025-03-06,8333.33,0.0,0.0,IMPORTACAO,DUPLICATA,MAXXI DISTRIBUIDORA,26193
726,fornecedor,quitado,26193/002,2025-01-17,2025-03-03,2025-03-14,8333.33,0.0,0.0,IMPORTACAO,DUPLICATA,MAXXI DISTRIBUIDORA,26193
727,fornecedor,quitado,26193/003,2025-01-17,2025-03-18,2025-03-18,8333.34,0.0,0.0,IMPORTACAO,DUPLICATA,MAXXI DISTRIBUIDORA,26193
769,despesas,cancelado,3,2025-01-21,2025-01-21,,105.28,0.0,105.28,YAGO,DAE-DOCUMENTO DE ARRECADACAO ESTADUAL,Fornecedor Não Informado,3
770,despesas,quitado,4,2025-01-21,2025-01-21,2025-02-04,118.44,0.0,0.0,YAGO,DAE-DOCUMENTO DE ARRECADACAO ESTADUAL,Fornecedor Não Informado,4
780,fornecedor,quitado,113152/001,2025-01-21,2025-02-20,2025-03-11,6764.02,255.82,0.0,YAGO,DUPLICATA,DINAMICA,113152
781,fornecedor,quitado,113152/002,2025-01-21,2025-03-07,2025-03-17,6764.02,0.0,0.0,IMPORTACAO,DUPLICATA,DINAMICA,113152
782,fornecedor,quitado,113152/003,2025-01-21,2025-03-22,2025-03-24,6764.02,0.0,0.0,IMPORTACAO,DUPLICATA,DINAMICA,113152
783,fornecedor,quitado,492/001,2025-01-21,2025-02-18,2025-03-11,6019.2,0.0,0.0,IMPORTACAO,DUPLICATA,TEC PRINT ROTULOS E ETIQ.,492
784,fornecedor,quitado,492/002,2025-01-21,2025-03-04,2025-03-14,6019.2,0.0,0.0,IMPORTACAO,DUPLICATA,TEC PRINT ROTULOS E ETIQ.,492
803,fornecedor,quitado,864738/001,2025-01-21,2025-03-12,2025-03-17,429.57,0.0,0.0,IMPORTACAO,DUPLICATA,RIOSFARMA,864738
804,fornecedor,quitado,864738/002,2025-01-21,2025-03-22,2025-03-24,429.56,0.0,0.0,IMPORTACAO,DUPLICATA,RIOSFARMA,864738
805,fornecedor,quitado,864738/003,2025-01-21,2025-04-01,2025-04-07,429.56,0.0,0.0,IMPORTACAO,DUPLICATA,RIOSFARMA,864738
806,fornecedor,quitado,52804/001,2025-01-21,2025-02-18,2025-03-11,997.32,0.0,0.0,IMPORTACAO,DUPLICATA,JB FARMA DISTRIBUIDORA,52804
807,fornecedor,quitado,52804/002,2025-01-21,2025-02-25,2025-03-14,967.98,0.0,0.0,IMPORTACAO,DUPLICATA,JB FARMA DISTRIBUIDORA,52804
808,fornecedor,quitado,52804/003,2025-01-21,2025-03-04,2025-03-17,967.98,0.0,0.0,IMPORTACAO,DUPLICATA,JB FARMA DISTRIBUIDORA,52804
819,fornecedor,quitado,100434/001,2025-01-22,2025-02-19,2025-03-11,9957.04,0.0,0.0,IMPORTACAO,DUPLICATA,VALFARMA,100434
820,fornecedor,quitado,100434/002,2025-01-22,2025-02-26,2025-03-11,9957.04,0.0,0.0,IMPORTACAO,DUPLICATA,VALFARMA,100434
821,fornecedor,quitado,100434/003,2025-01-22,2025-03-05,2025-03-12,9957.04,0.0,0.0,IMPORTACAO,DUPLICATA,VALFARMA,100434
822,fornecedor,quitado,100434/004,2025-01-22,2025-03-19,2025-03-21,9957.04,0.0,0.0,IMPORTACAO,DUPLICATA,VALFARMA,100434
823,fornecedor,quitado,100434/005,2025-01-22,2025-03-26,2025-03-27,9957.04,0.0,0.0,IMPORTACAO,DUPLICATA,VALFARMA,100434
826,fornecedor,quitado,1153596/001,2025-01-22,2025-02-12,2025-03-06,2290.85,0.0,0.0,IMPORTACAO,DUPLICATA,TOTAL COMERCIO,1153596
828,fornecedor,quitado,1806307/001,2024-12-18,2025-01-17,2025-01-23,209.98,0.0,0.0,IMPORTACAO,DUPLICATA,CIRURGICA FERNANDES,1806307
839,fornecedor,quitado,221413/001,2025-01-21,2025-02-18,2025-03-11,2863.04,0.0,0.0,IMPORTACAO,DUPLICATA,CIRURGICA MONTEBELLO,221413
840,fornecedor,quitado,221413/002,2025-01-21,2025-02-25,2025-03-11,2396.24,0.0,0.0,IMPORTACAO,DUPLICATA,CIRURGICA MONTEBELLO,221413
841,fornecedor,quitado,221413/003,2025-01-21,2025-03-04,2025-03-14,2396.24,0.0,0.0,IMPORTACAO,DUPLICATA,CIRURGICA MONTEBELLO,221413
842,fornecedor,quitado,221413/004,2025-01-21,2025-03-11,2025-03-14,2396.24,0.0,0.0,IMPORTACAO,DUPLICATA,CIRURGICA MONTEBELLO,221413
843,fornecedor,quitado,221413/005,2025-01-21,2025-03-18,2025-03-18,2396.24,0.0,0.0,IMPORTACAO,DUPLICATA,CIRURGICA MONTEBELLO,221413
845,fornecedor,quitado,68416/001,2025-01-20,2025-02-19,2025-03-11,2590.0,0.0,0.0,IMPORTACAO,DUPLICATA,PROMEFARMA MEDIC. E PRODUTOS HOSPITALARES LTDA,68416
851,fornecedor,quitado,18996/001,2025-01-10,2025-02-07,2025-03-06,11848.66,0.0,0.0,IMPORTACAO,DUPLICATA,INOVAMED HOSPITALAR,18996
852,fornecedor,quitado,18996/002,2025-01-10,2025-02-14,2025-03-06,11848.66,0.0,0.0,IMPORTACAO,DUPLICATA,INOVAMED HOSPITALAR,18996
853,fornecedor,quitado,18996/003,2025-01-10,2025-02-21,2025-03-17,11848.66,0.0,0.0,IMPORTACAO,DUPLICATA,INOVAMED HOSPITALAR,18996
854,fornecedor,quitado,480664/001,2025-01-16,2025-02-13,2025-03-06,4983.34,0.0,0.0,IMPORTACAO,DUPLICATA,DROGAFONTE,480664
855,fornecedor,quitado,480664/002,2025-01-16,2025-02-20,2025-03-18,4983.33,0.0,0.0,IMPORTACAO,DUPLICATA,DROGAFONTE,480664
856,fornecedor,quitado,480664/003,2025-01-16,2025-02-27,2025-03-11,4983.33,0.0,0.0,IMPORTACAO,DUPLICATA,DROGAFONTE,480664
857,fornecedor,quitado,1020815,2025-01-23,2025-02-15,2025-03-11,949.0,0.0,0.0,YAGO,DUPLICATA,SERVIS,1020815
861,fornecedor,quitado,221512/001,2025-01-22,2025-02-19,2025-03-17,4241.86,0.0,0.0,IMPORTACAO,DUPLICATA,CIRURGICA MONTEBELLO,221512
862,fornecedor,quitado,221512/002,2025-01-22,2025-03-05,2025-03-17,3938.87,0.0,0.0,IMPORTACAO,DUPLICATA,CIRURGICA MONTEBELLO,221512
863,fornecedor,quitado,221512/003,2025-01-22,2025-03-19,2025-04-17,3938.87,0.0,0.0,IMPORTACAO,DUPLICATA,CIRURGICA MONTEBELLO,221512
864,fornecedor,quitado,125279/001,2025-01-17,2025-02-16,2025-03-06,1800.0,0.0,0.0,IMPORTACAO,DUPLICATA,HIPOLABOR,125279
865,fornecedor,quitado,125279/002,2025-01-17,2025-03-03,2025-03-12,1800.0,0.0,0.0,IMPORTACAO,DUPLICATA,HIPOLABOR,125279
866,fornecedor,quitado,125279/003,2025-01-17,2025-03-18,2025-03-18,1800.0,0.0,0.0,IMPORTACAO,DUPLICATA,HIPOLABOR,125279
867,fornecedor,quitado,125279/004,2025-01-17,2025-04-02,2025-04-07,1800.0,0.0,0.0,IMPORTACAO,DUPLICATA,HIPOLABOR,125279
868,fornecedor,quitado,M0036001-08,2025-01-24,2025-02-05,2025-03-05,54.0,0.0,0.0,YAGO,BOLETO BANCARIO,ARQUIVAR NFE SOFTWARES LTDA,M0036001-08
869,despesas,cancelado,5,2025-01-24,2025-01-24,,107.52,0.0,107.52,YAGO,DAE-DOCUMENTO DE ARRECADACAO ESTADUAL,Fornecedor Não Informado,5
870,despesas,quitado,6,2025-01-24,2025-01-24,2025-01-28,144.0,0.0,0.0,YAGO,DAE-DOCUMENTO DE ARRECADACAO ESTADUAL,Fornecedor Não Informado,6
872,fornecedor,quitado,100551/001,2025-01-24,2025-02-23,2025-03-11,1065.1,0.0,0.0,IMPORTACAO,DUPLICATA,VALFARMA,100551
873,despesas,quitado,7,2025-01-24,2025-01-24,2025-01-28,120.96,0.0,0.0,INFARMA,DAE-DOCUMENTO DE ARRECADACAO ESTADUAL,Fornecedor Não Informado,7
874,fornecedor,quitado,422846772,2025-01-24,2025-01-31,2025-02-04,865.0,0.0,0.0,YAGO,DUPLICATA,BOX WORLD,422846772
875,despesas,cancelado,8,2025-01-24,2025-01-24,,120.96,0.0,120.96,YAGO,DAE-DOCUMENTO DE ARRECADACAO ESTADUAL,Fornecedor Não Informado,8
876,fornecedor,quitado,26265/001,2025-01-23,2025-02-22,2025-03-14,6623.4,0.0,0.0,IMPORTACAO,DUPLICATA,MAXXI DISTRIBUIDORA,26265
880,fornecedor,quitado,26266/001,2025-01-23,2025-02-22,2025-03-11,14541.39,0.0,0.0,IMPORTACAO,DUPLICATA,MAXXI DISTRIBUIDORA,26266
881,fornecedor,quitado,26266/002,2025-01-23,2025-03-09,2025-03-14,14541.39,0.0,0.0,IMPORTACAO,DUPLICATA,MAXXI DISTRIBUIDORA,26266
882,fornecedor,quitado,26266/003,2025-01-23,2025-03-24,2025-03-27,14541.42,0.0,0.0,IMPORTACAO,DUPLICATA,MAXXI DISTRIBUIDORA,26266
884,despesas,quitado,2719,2025-01-27,2025-01-27,2025-01-28,656.0,0.0,0.0,YAGO,DAE-DOCUMENTO DE ARRECADACAO ESTADUAL,Fornecedor Não Informado,2719
888,fornecedor,quitado,4475/1,2025-01-22,2025-02-19,2025-03-11,1000.4,0.0,0.0,IMPORTACAO,DUPLICATA,DONATI FIOS CIRURGICOS,4475
889,fornecedor,quitado,4475/2,2025-01-22,2025-02-26,2025-03-11,1000.4,0.0,0.0,IMPORTACAO,DUPLICATA,DONATI FIOS CIRURGICOS,4475
890,fornecedor,quitado,4475/3,2025-01-22,2025-03-05,2025-03-14,1000.4,0.0,0.0,IMPORTACAO,DUPLICATA,DONATI FIOS CIRURGICOS,4475
905,despesas,quitado,0000,2025-01-20,2025-01-27,2025-01-28,1442.1,0.0,0.0,ADRIANA,BOLETO BANCARIO,Fornecedor Não Informado,0000
906,fornecedor,quitado,25753,2024-12-06,2025-01-27,2025-01-28,5015.72,0.0,0.0,ADRIANA,OUTROS,MAXXI DISTRIBUIDORA,25753
907,despesas,quitado,001,2025-01-01,2025-01-27,2025-01-28,350.0,0.0,0.0,ADRIANA,DUPLICATA,Fornecedor Não Informado,001
929,fornecedor,quitado,394677/001,2025-01-10,2025-02-07,2025-03-06,1411.68,0.0,0.0,IMPORTACAO,DUPLICATA,INOVAMED,394677
930,fornecedor,quitado,394677/002,2025-01-10,2025-02-14,2025-03-06,1411.66,0.0,0.0,IMPORTACAO,DUPLICATA,INOVAMED,394677
931,fornecedor,quitado,394677/003,2025-01-10,2025-02-21,2025-03-11,1411.66,0.0,0.0,IMPORTACAO,DUPLICATA,INOVAMED,394677
932,fornecedor,quitado,224805/001,2025-01-10,2025-02-04,2025-03-06,17953.54,0.0,0.0,IMPORTACAO,DUPLICATA,STOCK MED,224805
933,fornecedor,quitado,224805/002,2025-01-10,2025-02-11,2025-03-06,17953.51,0.0,0.0,IMPORTACAO,DUPLICATA,STOCK MED,224805
934,fornecedor,quitado,224805/003,2025-01-10,2025-02-18,2025-03-11,17953.51,0.0,0.0,IMPORTACAO,DUPLICATA,STOCK MED,224805
935,fornecedor,quitado,224805/004,2025-01-10,2025-02-25,2025-03-12,17953.51,0.0,0.0,IMPORTACAO,DUPLICATA,STOCK MED,224805
936,fornecedor,quitado,224805/005,2025-01-10,2025-03-04,2025-03-14,17953.51,0.0,0.0,IMPORTACAO,DUPLICATA,STOCK MED,224805
937,fornecedor,quitado,224805/006,2025-01-10,2025-03-11,2025-03-14,17953.51,0.0,0.0,IMPORTACAO,DUPLICATA,STOCK MED,224805
938,fornecedor,quitado,224805/007,2025-01-10,2025-03-18,2025-03-18,17953.51,0.0,0.0,IMPORTACAO,DUPLICATA,STOCK MED,224805
939,fornecedor,quitado,224805/008,2025-01-10,2025-03-25,2025-04-04,17953.51,0.0,0.0,IMPORTACAO,DUPLICATA,STOCK MED,224805
940,fornecedor,quitado,224805/009,2025-01-10,2025-04-01,2025-04-03,17953.51,0.0,0.0,IMPORTACAO,DUPLICATA,STOCK MED,224805
962,fornecedor,quitado,90815/001,2025-01-17,2025-02-16,2025-03-11,3000.06,0.0,0.0,IMPORTACAO,DUPLICATA,CEPALAB,90815
963,fornecedor,quitado,90815/002,2025-01-17,2025-03-18,2025-03-18,2999.97,0.0,0.0,IMPORTACAO,DUPLICATA,CEPALAB,90815
964,fornecedor,quitado,90815/003,2025-01-17,2025-04-17,2025-04-30,2999.97,0.0,0.0,IMPORTACAO,DUPLICATA,CEPALAB,90815
968,fornecedor,quitado,49614/001,2025-01-13,2025-02-10,2025-03-06,10608.0,0.0,0.0,IMPORTACAO,DUPLICATA,CONQUISTA DIST. MED. E PROD. HOSP. LTDA,49614
969,fornecedor,quitado,49614/002,2025-01-13,2025-02-17,2025-03-11,10608.0,162.0,0.0,YAGO,DUPLICATA,CONQUISTA DIST. MED. E PROD. HOSP. LTDA,49614
970,fornecedor,quitado,49614/003,2025-01-13,2025-02-24,2025-03-06,10608.0,0.0,0.0,IMPORTACAO,DUPLICATA,CONQUISTA DIST. MED. E PROD. HOSP. LTDA,49614
977,fornecedor,quitado,77573/001,2025-01-16,2025-02-17,2025-03-06,8857.84,0.0,0.0,IMPORTACAO,DUPLICATA,VIC PHARMA,77573
978,fornecedor,quitado,77573/002,2025-01-16,2025-03-03,2025-03-17,8857.84,0.0,0.0,IMPORTACAO,DUPLICATA,VIC PHARMA,77573
979,fornecedor,quitado,77573/003,2025-01-16,2025-03-17,2025-03-18,8857.84,0.0,0.0,IMPORTACAO,DUPLICATA,VIC PHARMA,77573
983,fornecedor,quitado,77599/001,2025-01-16,2025-02-17,2025-03-06,4092.09,0.0,0.0,IMPORTACAO,DUPLICATA,VIC PHARMA,77599
984,fornecedor,quitado,77599/002,2025-01-16,2025-03-03,2025-03-14,4092.09,0.0,0.0,IMPORTACAO,DUPLICATA,VIC PHARMA,77599
985,fornecedor,quitado,77599/003,2025-01-16,2025-03-17,2025-03-18,4092.08,0.0,0.0,IMPORTACAO,DUPLICATA,VIC PHARMA,77599
1024,fornecedor,quitado,1813852/001,2025-01-17,2025-02-17,2025-03-06,43919.88,0.0,0.0,IMPORTACAO,DUPLICATA,CIRURGICA FERNANDES,1813852
1025,fornecedor,quitado,1813852/002,2025-01-17,2025-03-03,2025-03-14,36769.2,0.0,0.0,IMPORTACAO,DUPLICATA,CIRURGICA FERNANDES,1813852
1026,fornecedor,quitado,1813852/003,2025-01-17,2025-03-18,2025-03-18,37883.43,0.0,0.0,IMPORTACAO,DUPLICATA,CIRURGICA FERNANDES,1813852
1034,fornecedor,quitado,2396737/001,2025-01-09,2025-02-06,2025-03-06,25639.74,0.0,0.0,IMPORTACAO,DUPLICATA,EMBRAST,2396737
1035,fornecedor,quitado,2396737/002,2025-01-09,2025-02-13,2025-03-06,25639.74,0.0,0.0,IMPORTACAO,DUPLICATA,EMBRAST,2396737
1036,fornecedor,quitado,2396737/003,2025-01-09,2025-02-20,2025-03-11,25639.74,0.0,0.0,IMPORTACAO,DUPLICATA,EMBRAST,2396737
1037,fornecedor,quitado,2396737/004,2025-01-09,2025-02-27,2025-03-11,25639.74,0.0,0.0,IMPORTACAO,DUPLICATA,EMBRAST,2396737
1038,fornecedor,quitado,2396737/005,2025-01-09,2025-03-06,2025-03-14,25639.74,0.0,0.0,IMPORTACAO,DUPLICATA,EMBRAST,2396737
1039,fornecedor,quitado,2396737/006,2025-01-09,2025-03-13,2025-03-18,25639.74,0.0,0.0,IMPORTACAO,DUPLICATA,EMBRAST,2396737
1040,fornecedor,quitado,2396737/007,2025-01-09,2025-03-20,2025-03-21,25711.56,0.0,0.0,IMPORTACAO,DUPLICATA,EMBRAST,2396737
1051,fornecedor,quitado,78657/1,2025-01-20,2025-02-17,2025-03-06,1296.0,0.0,0.0,IMPORTACAO,DUPLICATA,SHALON,78657
1052,fornecedor,quitado,78657/2,2025-01-20,2025-02-24,2025-03-11,1296.0,0.0,0.0,IMPORTACAO,DUPLICATA,SHALON,78657
1053,fornecedor,quitado,78657/3,2025-01-20,2025-03-03,2025-03-14,1296.4,0.0,0.0,IMPORTACAO,DUPLICATA,SHALON,78657
1054,despesas,quitado,9,2025-01-29,2025-01-29,2025-02-04,685.89,0.0,0.0,YAGO,DAE-DOCUMENTO DE ARRECADACAO ESTADUAL,Fornecedor Não Informado,9
1055,despesas,quitado,5708904380,2025-01-29,2025-02-05,2025-03-05,230.0,0.0,0.0,YAGO,BOLETO BANCARIO,Fornecedor Não Informado,5708904380
1056,fornecedor,quitado,25157/001,2025-01-28,2025-02-25,2025-03-11,700.0,0.0,0.0,IMPORTACAO,DUPLICATA,MM ROTULOS E ETIQUETAS,25157
1058,despesas,quitado,158170,2025-01-02,2025-01-30,2025-02-04,1125.0,0.0,0.0,YAGO,BOLETO BANCARIO,Fornecedor Não Informado,158170
1059,fornecedor,quitado,616/001,2025-01-28,2025-02-27,2025-03-06,11250.0,0.0,0.0,IMPORTACAO,DUPLICATA,GLOBALMED DISTRIBUICAO LTDA,616
1060,fornecedor,quitado,616/002,2025-01-28,2025-03-14,2025-03-18,11250.0,0.0,0.0,IMPORTACAO,DUPLICATA,GLOBALMED DISTRIBUICAO LTDA,616
1061,despesas,quitado,10,2025-01-30,2025-01-30,2025-02-04,147.6,0.0,0.0,YAGO,DAE-DOCUMENTO DE ARRECADACAO ESTADUAL,Fornecedor Não Informado,10
1062,despesas,quitado,11,2025-01-30,2025-01-30,2025-02-04,1840.0,0.0,0.0,YAGO,DAE-DOCUMENTO DE ARRECADACAO ESTADUAL,Fornecedor Não Informado,11
1064,fornecedor,quitado,261119,2025-01-30,2025-03-01,2025-03-17,970.91,0.0,0.0,YAGO,DUPLICATA,R7 BEZERRA,261119
1081,despesas,quitado,12,2025-01-31,2025-01-31,2025-02-04,131.2,0.0,0.0,YAGO,DAE-DOCUMENTO DE ARRECADACAO ESTADUAL,Fornecedor Não Informado,12
1082,fornecedor,quitado,68528/001,2025-01-21,2025-02-18,2025-03-11,2540.0,0.0,0.0,IMPORTACAO,DUPLICATA,PROMEFARMA MEDIC. E PRODUTOS HOSPITALARES LTDA,68528
1083,fornecedor,quitado,68528/002,2025-01-21,2025-02-25,2025-03-11,2540.0,0.0,0.0,IMPORTACAO,DUPLICATA,PROMEFARMA MEDIC. E PRODUTOS HOSPITALARES LTDA,68528
1084,fornecedor,quitado,68528/003,2025-01-21,2025-03-04,2025-03-14,2540.0,0.0,0.0,IMPORTACAO,DUPLICATA,PROMEFARMA MEDIC. E PRODUTOS HOSPITALARES LTDA,68528
1088,fornecedor,aberto,P37/1,2025-01-21,2025-02-18,,460.0,0.0,460.0,YAGO,DUPLICATA,PROMEFARMA MEDIC. E PRODUTOS HOSPITALARES LTDA,P37
1089,fornecedor,aberto,P37/2,2025-01-21,2025-02-25,,460.0,0.0,460.0,YAGO,DUPLICATA,PROMEFARMA MEDIC. E PRODUTOS HOSPITALARES LTDA,P37
1090,fornecedor,aberto,P37/3,2025-01-21,2025-03-04,,460.0,0.0,460.0,YAGO,DUPLICATA,PROMEFARMA MEDIC. E PRODUTOS HOSPITALARES LTDA,P37
1091,fornecedor,cancelado,93686/001,2025-01-30,2025-01-31,,6507.0,0.0,6507.0,YAGO,DUPLICATA,JAB DISTRIBUIDORA,93686
1092,fornecedor,cancelado,93686,2025-01-30,2025-02-15,,2169.0,0.0,2169.0,YAGO,CARTAO,JAB DISTRIBUIDORA,93686
1094,fornecedor,quitado,93686/01,2025-01-31,2025-02-12,2025-03-05,2169.0,0.0,0.0,YAGO,CARTAO,JAB DISTRIBUIDORA,93686
1095,fornecedor,quitado,93686/02,2025-01-31,2025-03-12,2025-03-17,2169.0,0.0,0.0,YAGO,CARTAO,JAB DISTRIBUIDORA,93686
1096,fornecedor,quitado,93686/03,2025-01-31,2025-04-12,2025-04-15,2169.0,0.0,0.0,YAGO,CARTAO,JAB DISTRIBUIDORA,93686
1097,despesas,quitado,161123,2025-02-03,2025-02-28,2025-03-07,1125.0,0.0,0.0,YAGO,DUPLICATA,Fornecedor Não Informado,161123
1098,fornecedor,aberto,76886/01,2025-02-03,2025-02-12,,1090.0,0.0,1090.0,YAGO,CARTAO,SIMPLIFIQUE - WS,76886
1099,fornecedor,aberto,76886/02,2025-02-03,2025-03-12,,1090.0,0.0,1090.0,YAGO,CARTAO,SIMPLIFIQUE - WS,76886
1100,fornecedor,aberto,76886/03,2025-02-03,2025-04-12,,1090.0,0.0,1090.0,YAGO,CARTAO,SIMPLIFIQUE - WS,76886
1101,fornecedor,aberto,76886/04,2025-02-03,2025-05-12,,1090.0,0.0,1090.0,YAGO,CARTAO,SIMPLIFIQUE - WS,76886
1102,fornecedor,aberto,76886/05,2025-02-03,2025-06-12,,1090.0,0.0,1090.0,YAGO,CARTAO,SIMPLIFIQUE - WS,76886
1103,fornecedor,aberto,76886/06,2025-02-03,2025-07-12,,1090.0,0.0,1090.0,YAGO,CARTAO,SIMPLIFIQUE - WS,76886
1104,fornecedor,aberto,76886/07,2025-02-03,2025-08-12,,1090.0,0.0,1090.0,YAGO,CARTAO,SIMPLIFIQUE - WS,76886
1105,fornecedor,aberto,76886/08,2025-02-03,2025-09-12,,1090.0,0.0,1090.0,YAGO,CARTAO,SIMPLIFIQUE - WS,76886
1106,fornecedor,aberto,76886/09,2025-02-03,2025-10-12,,1090.0,0.0,1090.0,YAGO,CARTAO,SIMPLIFIQUE - WS,76886
1107,fornecedor,aberto,76886/10,2025-02-03,2025-11-12,,1090.0,0.0,1090.0,YAGO,CARTAO,SIMPLIFIQUE - WS,76886
1110,fornecedor,quitado,11625/001,2025-02-03,2025-03-05,2025-03-17,1818.13,0.0,0.0,IMPORTACAO,DUPLICATA,ALFEMA FORTALEZA,11625
1111,fornecedor,quitado,113477/001,2025-02-03,2025-03-05,2025-03-14,2676.7,0.0,0.0,IMPORTACAO,DUPLICATA,DINAMICA,113477
1112,despesas,quitado,2006,2025-02-03,2025-02-17,2025-03-11,5300.01,0.0,0.0,YAGO,BOLETO BANCARIO,Fornecedor Não Informado,2006
1116,fornecedor,quitado,87873/001,2024-12-27,2025-02-10,2025-03-06,1775.0,0.0,0.0,IMPORTACAO,DUPLICATA,SR,87873
1117,fornecedor,quitado,87873/002,2024-12-27,2025-02-25,2025-03-11,1775.0,0.0,0.0,IMPORTACAO,DUPLICATA,SR,87873
1118,fornecedor,quitado,87873/003,2024-12-27,2025-03-12,2025-03-14,1775.0,0.0,0.0,IMPORTACAO,DUPLICATA,SR,87873
1122,fornecedor,quitado,100833/001,2025-02-03,2025-03-05,2025-03-12,304.28,0.0,0.0,IMPORTACAO,DUPLICATA,VALFARMA,100833
1124,fornecedor,quitado,15003/001,2025-02-03,2025-03-05,2025-03-12,927.0,0.0,0.0,IMPORTACAO,DUPLICATA,BELIEVE,15003
1125,despesas,quitado,13,2025-02-03,2025-02-04,2025-03-14,104.67,0.0,0.0,YAGO,DAE-DOCUMENTO DE ARRECADACAO ESTADUAL,Fornecedor Não Informado,13
1148,fornecedor,quitado,106312/001,2025-01-31,2025-02-28,2025-03-12,5279.99,0.0,0.0,IMPORTACAO,DUPLICATA,CRALPLAST,106312
1149,fornecedor,quitado,106312/002,2025-01-31,2025-03-07,2025-03-14,5279.99,0.0,0.0,IMPORTACAO,DUPLICATA,CRALPLAST,106312
1150,fornecedor,quitado,106312/003,2025-01-31,2025-03-14,2025-03-17,5279.99,0.0,0.0,IMPORTACAO,DUPLICATA,CRALPLAST,106312
1151,fornecedor,quitado,106312/004,2025-01-31,2025-03-21,2025-03-21,5279.99,0.0,0.0,IMPORTACAO,DUPLICATA,CRALPLAST,106312
1152,fornecedor,quitado,106312/005,2025-01-31,2025-03-28,2025-04-09,5279.98,0.0,0.0,IMPORTACAO,DUPLICATA,CRALPLAST,106312
1153,fornecedor,quitado,106311/001,2025-01-31,2025-02-28,2025-03-12,4902.85,0.0,0.0,IMPORTACAO,DUPLICATA,CRALPLAST,106311
1154,fornecedor,quitado,106311/002,2025-01-31,2025-03-07,2025-03-14,4902.85,0.0,0.0,IMPORTACAO,DUPLICATA,CRALPLAST,106311
1155,fornecedor,quitado,106311/003,2025-01-31,2025-03-14,2025-03-17,4902.85,0.0,0.0,IMPORTACAO,DUPLICATA,CRALPLAST,106311
1156,fornecedor,quitado,106311/004,2025-01-31,2025-03-21,2025-03-21,4902.85,0.0,0.0,IMPORTACAO,DUPLICATA,CRALPLAST,106311
1157,fornecedor,quitado,106311/005,2025-01-31,2025-03-28,2025-04-09,4902.83,0.0,0.0,IMPORTACAO,DUPLICATA,CRALPLAST,106311
1158,fornecedor,quitado,106310/001,2025-01-31,2025-01-31,2025-02-06,31114.21,0.0,0.0,IMPORTACAO,DUPLICATA,CRALPLAST,106310
1159,fornecedor,quitado,106310/002,2025-01-31,2025-02-28,2025-03-12,4337.13,0.0,0.0,IMPORTACAO,DUPLICATA,CRALPLAST,106310
1160,fornecedor,quitado,106310/003,2025-01-31,2025-03-07,2025-03-14,4337.13,0.0,0.0,IMPORTACAO,DUPLICATA,CRALPLAST,106310
1161,fornecedor,quitado,106310/004,2025-01-31,2025-03-14,2025-03-17,4337.13,0.0,0.0,IMPORTACAO,DUPLICATA,CRALPLAST,106310
1162,fornecedor,quitado,106310/005,2025-01-31,2025-03-21,2025-03-21,4337.14,0.0,0.0,IMPORTACAO,DUPLICATA,CRALPLAST,106310
1163,fornecedor,quitado,106310/006,2025-01-31,2025-03-28,2025-04-09,4337.14,0.0,0.0,IMPORTACAO,DUPLICATA,CRALPLAST,106310
